name,creation_time,search_time,gran,max_x,max_y,num_queries,num_objects,sr_rate,k,knn_ratio
places_hybrid_10,36684519413,106899841327,512,512.0,512.0,1000000,100000,0.01,5,0.1
places_hybrid_10,31733221242,105482591404,512,512.0,512.0,1000000,100000,0.01,5,0.1
places_hybrid_10,32829821266,110588922114,512,512.0,512.0,1000000,100000,0.01,5,0.1
places_hybrid_10,159834733002,197404036490,512,512.0,512.0,2500000,100000,0.01,5,0.1
places_hybrid_10,154163224591,215398268296,512,512.0,512.0,2500000,100000,0.01,5,0.1
places_hybrid_10,156986016777,222781203052,512,512.0,512.0,2500000,100000,0.01,5,0.1
places_hybrid_05,25256059895,80519153332,512,512.0,512.0,1000000,100000,0.01,5,0.05
places_hybrid_05,105187985410,135810853894,512,512.0,512.0,2500000,100000,0.01,5,0.05
places_hybrid_05,355951510440,288299715737,512,512.0,512.0,5000000,100000,0.01,5,0.05
places_hybrid_10,649233429502,417856979243,512,512.0,512.0,5000000,100000,0.01,5,0.1
places_hybrid_00,6332827018,10843738961,512,512.0,512.0,1000000,100000,0.01,5,0.0
places_hybrid_00,6457342106,10489065802,512,512.0,512.0,1000000,100000,0.01,5,0.0
places_hybrid_00,6185482469,10405992753,512,512.0,512.0,1000000,100000,0.01,5,0.0
places_hybrid_00,26101868520,15544913488,512,512.0,512.0,2500000,100000,0.01,5,0.0
